"STATION","NAME","DATE","DX70","DX90","EMSN","EMXP","EMXT","SNOW","TAVG"
"USC00190736","BLUE HILL, MA US","1919-01","0","0","2.5","1.56","55","3.8","28.5"
"USC00190736","BLUE HILL, MA US","1919-02","0","0","4.0","1.22","45","8.3","27.0"
"USC00190736","BLUE HILL, MA US","1919-03","0","0","1.0","1.12","65","2.9","36.2"
"USC00190736","BLUE HILL, MA US","1919-04","0","0","0.0","1.12","69","0.0","43.8"
"USC00190736","BLUE HILL, MA US","1919-05","14","1",,"1.60","93",,"57.7"
"USC00190736","BLUE HILL, MA US","1919-06","18","3",,"1.18","99",,"64.7"
"USC00190736","BLUE HILL, MA US","1919-07","28","3",,"1.55","98",,"70.4"
"USC00190736","BLUE HILL, MA US","1919-08","21","0",,"3.06","86",,"64.5"
"USC00190736","BLUE HILL, MA US","1919-09","13","0",,"1.76","87",,"59.1"
"USC00190736","BLUE HILL, MA US","1919-10","4","0",,"0.68","81",,"51.0"
"USC00190736","BLUE HILL, MA US","1919-11","0","0","0.5","1.34","63","1.5","38.7"
"USC00190736","BLUE HILL, MA US","1919-12","0","0","1.5","0.65","57","4.5","23.7"
"USC00190736","BLUE HILL, MA US","1920-01","0","0","6.0","0.89","45","27.1","16.0"
"USC00190736","BLUE HILL, MA US","1920-02","0","0","11.0","1.43","43","40.4","21.5"
"USC00190736","BLUE HILL, MA US","1920-03","1","0","7.0","1.76","70","10.6","35.3"
"USC00190736","BLUE HILL, MA US","1920-04","1","0","1.2","1.47","73","1.2","42.0"
"USC00190736","BLUE HILL, MA US","1920-05","10","0","0.1","3.75","86","0.1","53.8"
"USC00190736","BLUE HILL, MA US","1920-06","18","0",,"2.62","88",,"61.2"
"USC00190736","BLUE HILL, MA US","1920-07","29","0",,"0.80","86",,"68.1"
"USC00190736","BLUE HILL, MA US","1920-08","28","0",,"2.44","89",,"69.0"
"USC00190736","BLUE HILL, MA US","1920-09","16","0",,"0.78","84",,"61.3"
"USC00190736","BLUE HILL, MA US","1920-10","9","0",,"1.08","78",,"54.1"
"USC00190736","BLUE HILL, MA US","1920-11","0","0","3.0","2.15","59","5.0","36.4"
"USC00190736","BLUE HILL, MA US","1920-12","0","0","4.0","1.27","59","6.4","30.2"
"USC00190736","BLUE HILL, MA US","1921-01","0","0","4.0","1.11","52","10.4","26.0"
"USC00190736","BLUE HILL, MA US","1921-02","0","0","15.0","1.43","55","27.4","26.6"
"USC00190736","BLUE HILL, MA US","1921-03","2","0","0.0","0.74","81","0.0","42.2"
